;Таблицы;
S_FILETP;СПРАВОЧНИК ТИПОВ ФАЙЛОВ;100
PSVD_COV;ПРИКРЫТИЕ;3
PSVD_HIS;ИСТОРИЯ ПСЕВДОНИМА;3
PHOTOTAB;ПРИВЯЗКА ФОТО;0
ADM_OKR;ОКРАСКА АДМПРОТОКОЛОВ;10
S_REGBRN;СПРАВОЧНИК РЕГИОНОВ РОЖДЕНИЯ;100
S_ORLOSS;КЕМ УТРАЧЕНО ОРУЖИЕ;10
S_ORBLNG;ПРИНАДЛЕЖНОСТЬ УТРАЧ. ОРУЖИЯ;10
S_ORDETL;СПРАВОЧНИК ДЕТАЛЕЙ ОРУЖИЯ;10
S_ORMAKE;СТРАНЫ ПРОИЗВОДИТЕЛИ ОРУЖИЯ;10
S_ORVID;ВИДЫ ОРУЖИЯ В РОЗЫСКЕ;10
OR_P_ROZ;РОЗЫСК ОРУЖИЯ;10
CONT_PAS;СПИСОК ПАССАЖИРОВ;10
CONT_PRD;СПИСОК ПРОДУКЦИИ;10
S_RES_TR;РЕШЕНИЯ ПО ТРАНСПОРТУ;100
S_ED_IZM;СПРАВОЧНИК ЕДИНИЦ ИЗМЕРЕНИЯ;10
PARENTS;РОДИТЕЛИ;100
LC_WORK;ТРУДОВАЯ ДЕЯТЕЛЬНОСТЬ;100
EXP_OVIR;ЭКСПОРТ ДАННЫХ ОВИР;100
S_REZULT;РЕЗУЛЬТАТЫ ОФОРМЛЕНИЯ ЗП;100
CH_DOC;ДОКУМЕНТЫ, ПРИНАДЛЕЖАЩИЕ ДЕТЯМ;100
A_TO_KV;КВИТАНЦИИ;100
MES_ROZ;ПРОТОКОЛ СИГНАЛОВ;0
OB_P_NCK;КЛИЧКИ К ОБЪЕКТАМ;10
S_CONTR;СПРАВОЧНИК ОСНОВАНИЙ ПРОВЕРКИ;0
S_PR_OR;ПРИЧИНЫ СНЯТИЯ ОРУЖИЯ С УЧЕТА;0
LC_REQ;ЗАПРОСЫ В ВЕДОМСТВА;100
SB_LINOT;ПРОХОДИТ ПО ЛИНИИ ОТДЕЛА;10
SB_RASKR;РАСКРЫТО С ПОМОЩЬЮ;10
RPT_OBJ;ОБЪЕКТЫ В ОТЧЁТАХ ПО БД;100
S_TABLES;ТАБЛИЦЫ;100
OST_PMJ;ОСТАВЛЕНИЕ НА ПМЖ;100
S_NADDR;КОЛИЧЕСТВО РАБОЧИХ СТАНЦИЙ;0
HELP07R;ЭКСПОРТИРУЕМЫЕ НАЦИОНАЛЬНОСТИ;0
SLOVO2R;ЭКСПОРТИРУЕМЫЕ ГОСУДАРСТВА;0
SLOVO3R;ЭКСПОРТИРУЕМЫЕ СУБЪЕКТЫ;0
STPDOCR;ЭКСПОРТИРУЕМЫЕ ТИПЫ ДОКУМЕНТОВ;0
S_OVDR;ЭКСПОРТИРУЕМЫЕ ОВД;0
SB_DOP;ДОПОЛНЕНИЕ К СОБЫТИЮ;10
SB_D_TXT;ФАБУЛА ДОПОЛНЕНИЯ К СОБЫТИЮ;10
SB_PRIM;ПРИМЕЧАНИЕ К СОБЫТИЮ;10
SB_M_FAB;КРАТКАЯ ФАБУЛА К СОБЫТИЮ;10
S_GIZCEL;СПРАВОЧНИК ЦЕЛЕЙ ЗАПРОСОВ;100
ANSWER;СОДЕРЖИМОЕ ОТВЕТА НА ЗАПРОС;100
NAC_STR;СОДЕРЖИМОЕ НАЦИОНАЛЬН.СТРАНИЦЫ;100
HIS_CLN;ИСТОРИЯ ЧИСТКИ;10
DOST_ADM;АДМПРОТОКОЛЫ ПО ДОСТАВЛЕНИЯМ;10
S_EXCLUS;ОСНОВАНИЯ ИСКЛЮЧЕНИЯ АГЕНТОВ;0
NAR_ORG;ОТВЕТСТВЕННОСТЬ ПО КОАП;1
SU_ORGDS;РЕКВИЗИТЫ ОРГ.ПРИНИМАЮЩИХ РЕШ.;10
S_NARADM;КАТЕГОРИИ НАРУШИТЕЛЕЙ;0
SO_PVS;СПРАВОЧНИК КОДОВ ПОДРАЗД.ФМС;100
TO_SHTMP;ПЕЧАТЬ ШТАМПОВ;100
SB_PASS;ПЕРЕДАЧА ПРОКУРОРУ;10
TO_VDPSP;ДОПОЛНЕНИЕ К ВЫДАЧЕ ПАСПОРТА;100
KART_OR;КОНТРОЛЬНАЯ КАРТОЧКА ОРУЖИЯ;10
SU_AMMUN;БОЕПРИПАСЫ, ВВ, ВУ;10
S_TPAMM;ТИП УЧЕТНОГО ОРУЖИЯ;10
